Stress Level
3
8
8
5
4
5
8
6
6
6.5
6
7
9
8
8
4
8
3
10
7
7
7
8
7
7
8
2
8
2
7
4
6
7
10
9
6
7
8
8.5
8
5
9
6
3
7
6
10
1
9
5
7.5
6
8
4
2
7
8
6
6
5
7
7
8
4
6
6
3
10
6
3
8
7
4
4
3
8
8
8
6
10
8
7
3
5
1
8
7
7
3
6
7
10
4
5
6

