Burrow,Status,Xcoord,Ycoord,Z,Watershed,Dew5m,Dew15m,Slope5m,Slope15m,Shrub5m,Shrub15m,Rock5m,Rock15m
i826,0,128219.5078,1031369.438,534.38,3,902,924,903,673,1228,6437,648,9410
i827,1,128219.5078,1031368.375,534.49,3,902,924,903,673,1228,6437,648,9410
i828,0,128219.0781,1031368.625,534.46,3,902,924,903,673,1228,6437,648,9410
i829,1,128220.75,1031367.438,534.73,3,901,924,798,673,589,5400,1148,10065
i83,0,128133.5391,1031384.875,528.69,3,948,945,1208,1088,444,4081,1247,10469
i830,0,128221.6328,1031368.063,534.67,3,902,924,903,673,1228,6437,648,9410
i831,0,128220.6328,1031368,534.66,3,901,924,798,673,1228,6437,648,9410
i832,1,128220.5234,1031368.063,534.66,3,902,924,903,673,1228,6437,648,9410
i833,1,128220.9922,1031369.938,534.3,3,902,924,903,673,1228,6437,648,9410
i834,0,128221.8516,1031370,534.33,3,902,924,903,673,1228,6437,648,9410
i835,0,128222.3281,1031370.438,534.33,3,902,924,903,673,1228,6437,648,9410
i836,1,128222.3594,1031370.625,534.29,3,902,924,903,673,1228,6437,648,9410
i837,0,128223,1031368.625,534.57,3,916,924,778,673,1228,6437,648,9410
i838,1,128223.5391,1031368.813,534.65,3,916,924,778,673,958,6437,939,9410
i839,0,128225.5469,1031370.063,534.49,3,916,924,778,673,958,7126,939,8504
i84,1,128162.3906,1031385.313,528.75,3,937,912,1141,1157,529,4688,1224,10336
i840,1,128223.2578,1031371.813,534.02,3,916,924,778,673,1228,6437,648,9410
i841,1,128223.9297,1031371.5,534.19,3,916,924,778,673,958,6437,939,9410
i842,0,128224.25,1031371.25,534.27,3,916,924,778,673,958,6437,939,9410
i843,0,128224.5156,1031371,534.27,3,916,924,778,673,958,6437,939,9410
i844,0,128226.1641,1031370.813,534.4,3,916,924,778,673,958,7126,939,8504
i845,0,128225.2891,1031371.188,534.29,3,916,924,778,673,958,7126,939,8504
i846,0,128225.7109,1031371.625,534.29,3,916,924,778,673,958,7126,939,8504
i847,0,128225.6484,1031372.063,534.19,3,916,924,778,673,1165,7126,658,8504
i848,0,128225.3125,1031372.188,534.15,3,916,924,778,673,1165,7126,658,8504
i849,0,128225.1797,1031372.25,534.12,3,916,924,778,673,1165,7126,658,8504
i85,1,128180.4844,1031369.125,533.03,3,905,910,1068,930,457,4434,1359,11725
i850,0,128225.2031,1031372.563,534.01,3,916,924,778,673,1165,7126,658,8504
i851,0,128224.6719,1031372.125,534.1,3,916,924,778,673,1165,6437,658,9410
i852,0,128224.3125,1031373.125,533.8,3,902,907,1036,1005,1165,6437,658,9410
i853,0,128226.5078,1031369.625,534.63,3,916,924,778,673,958,7126,939,8504
i854,1,128228.7891,1031370.188,534.61,3,942,924,703,673,478,7126,1196,8504
i855,1,128226.8125,1031373.063,534.15,3,902,907,1036,1005,1165,7126,658,8504
i856,0,128228.0313,1031373.625,534.14,3,942,907,882,1005,1115,7126,686,8504
i857,0,128228.2344,1031374.063,534.06,3,942,907,882,1005,1115,7126,686,8504
i858,1,128228.5,1031374.875,533.77,3,942,907,882,1005,1115,7126,686,8504
i859,0,128229.1094,1031374.938,533.88,3,942,907,882,1005,1115,7126,686,8504
i86,1,128182.0781,1031369.75,532.97,3,905,910,1068,930,457,4434,1359,11725
i860,0,128229.4531,1031375.313,533.83,3,942,907,882,1005,1115,7126,686,8504
i861,0,128229.7578,1031375.625,533.81,3,942,907,882,1005,1115,7126,686,8504
i862,0,128232.3516,1031376.188,534,3,942,907,882,1005,851,7126,912,8504
i863,1,128232.0156,1031376.188,533.97,3,942,907,882,1005,1115,7126,686,8504
i864,0,128231.0234,1031376.25,533.85,3,942,907,882,1005,1115,7126,686,8504
i865,1,128231.9297,1031376.875,533.71,3,942,907,882,1005,716,7126,995,8504
i866,1,128234.7188,1031378.125,533.83,3,904,927,787,664,1178,7126,712,8504
i867,1,128240.5156,1031379.313,534.06,3,924,927,657,664,1173,4570,674,9335
i868,0,128244.6172,1031383.438,533.61,3,913,927,701,664,1087,6461,727,9803
i869,0,128244.5781,1031384.688,533.34,3,913,927,701,664,1087,6461,727,9803
i87,0,128182.5313,1031370.688,532.83,3,905,910,1068,930,457,4434,1359,11725
i870,0,128247.875,1031389.875,532.64,3,918,919,741,909,1148,6461,791,9803
i871,0,128222.2031,1031376.313,533.13,3,902,907,1042,1005,854,6437,788,9410
i872,0,128215.0703,1031377.688,532.85,3,902,906,1034,1083,377,6437,1235,9410
i873,1,128211.7578,1031378.313,532.54,3,901,906,1069,1083,501,6437,1317,9410
i874,0,128199.2188,1031373,533.29,3,903,906,995,854,493,4767,1314,11272
i875,0,128198.5547,1031373.313,533.12,3,901,904,1074,1064,493,4767,1314,11272
i876,0,128186.3203,1031368.688,533.25,3,903,910,1097,930,506,4434,1207,11725
i877,0,128186.4297,1031369.563,533.22,3,903,910,1097,930,506,4434,1207,11725
i878,0,128188.1484,1031370.375,533.17,3,901,906,1074,854,552,4434,1133,11725
i879,0,128187.9688,1031370.5,533.1,3,903,910,1097,930,552,4434,1133,11725
i88,0,128182.1563,1031371.063,532.79,3,905,910,1068,930,457,4434,1359,11725
i880,1,128190.5625,1031369.75,533.4,3,901,906,1074,854,552,4434,1133,11725
i881,1,128195.0313,1031374,532.85,3,903,904,1070,1064,554,4767,1255,11272
i882,0,128191.7656,1031378.438,531.93,3,905,904,1049,1064,571,4434,1208,11725
i883,1,128193.0391,1031378.688,531.89,3,903,904,1027,1064,625,4434,1059,11725
i884,1,128194.3984,1031379,531.9,3,903,904,1027,1064,625,4434,1059,11725
i885,1,128194.2422,1031379.563,531.81,3,903,904,1027,1064,625,4434,1059,11725
i886,0,128195.0234,1031377.063,532.26,3,903,904,1070,1064,625,4767,1059,11272
i887,1,128196.4219,1031377.5,532.22,3,903,904,1070,1064,488,4767,1312,11272
i888,1,128226.375,1031513.625,528.02,3,912,909,892,888,222,1909,1573,14530
i889,0,128201.0078,1031378.5,532.23,3,899,904,1055,1064,694,4767,1144,11272
i89,1,128182.0703,1031371.375,532.73,3,905,910,1068,930,457,4434,1359,11725
i890,0,128200.8906,1031381,531.81,3,899,904,1055,1064,622,4767,1178,11272
i891,0,128195.9219,1031383.688,531.19,3,904,904,1080,1064,318,4856,1548,11983
i892,1,128195.5313,1031384.938,530.92,3,904,904,1080,1064,318,4856,1548,11983
i893,1,128196.0234,1031384.875,530.96,3,904,904,1080,1064,318,4856,1548,11983
i894,1,128195.8359,1031385.688,530.79,3,904,904,1080,1064,437,4856,1450,11983
i895,NA,128195.0391,1031386.125,530.58,3,904,904,1080,1064,437,4856,1450,11983
i896,0,128197.0391,1031385.313,530.92,3,904,904,1080,1064,482,4856,1256,11983
i897,0,128193.3359,1031388.438,530.02,3,911,916,1096,1054,437,4634,1450,10892
i898,0,128193.9063,1031390.563,529.7,3,911,916,1096,1054,638,4634,1110,10892
i899,0,128208.7734,1031380.625,532.04,3,901,906,1069,1083,744,4767,1011,11272
i9,0,128104.3594,1031381.375,531.58,3,897,895,885,815,397,1810,1325,14571
i90,1,128181.6016,1031371.688,532.63,3,905,910,1068,930,457,4434,1359,11725
i900,0,128207.6875,1031382.438,531.6,3,901,906,1080,1083,789,4767,1059,11272
i901,0,128204.7109,1031387.25,530.71,3,921,906,1120,1083,480,4856,1466,11983
i902,0,128200.5781,1031389.375,530.16,3,930,916,1118,1054,329,4856,1656,11983
i903,1,128201.0156,1031389.938,530.07,3,930,916,1118,1054,480,4856,1466,11983
i904,1,128199.25,1031393.938,529.26,3,911,916,1082,1054,450,4856,1373,11983
i905,0,128200.1094,1031394.063,529.29,3,911,916,1082,1054,450,4856,1373,11983
i906,0,128196.8281,1031396.5,528.69,3,927,916,1058,1054,623,4856,1158,11983
i907,1,128214.625,1031380.625,532.36,3,896,906,1017,1083,377,6437,1235,9410
i908,1,128211.0547,1031381.75,531.85,3,901,906,1069,1083,559,6437,1278,9410
i909,1,128209.1484,1031385.938,531,3,910,906,1128,1083,541,4856,1318,11983
i91,1,128180.7188,1031371.75,532.59,3,905,910,1068,930,457,4434,1359,11725
i910,0,128208.7813,1031386.125,530.97,3,910,906,1128,1083,541,4856,1318,11983
i911,1,128207.8594,1031387.75,530.64,3,921,906,1120,1083,541,4856,1318,11983
i912,0,128208.125,1031388.313,530.52,3,928,924,1148,1174,541,4856,1318,11983
i913,0,128209.3125,1031387.438,530.72,3,910,906,1128,1083,541,4856,1318,11983
i914,0,128213.2969,1031388.125,530.76,3,917,924,1158,1174,547,5766,1361,10883
i915,1,128210.0703,1031390.688,530.17,3,928,924,1148,1174,566,5766,1376,10883
i916,0,128211.0859,1031393.375,529.66,3,917,924,1200,1174,566,5766,1376,10883
i917,1,128209.8594,1031393.813,529.5,3,917,924,1200,1174,566,5766,1376,10883
i918,0,128209.3047,1031393.75,529.54,3,917,924,1200,1174,626,4856,1282,11983
i919,0,128205.4688,1031391.75,529.8,3,920,924,1130,1174,626,4856,1282,11983
i92,1,128180.375,1031372.875,532.29,3,905,910,1068,930,397,4434,1386,11725
i920,0,128201.8672,1031394.125,529.3,3,911,916,1082,1054,589,4856,1226,11983
i921,0,128199.4297,1031398.063,528.49,3,925,916,1076,1054,623,3697,1158,13207
i922,0,128199.5391,1031399.625,528.24,3,925,916,1076,1054,384,3697,1573,13207
i923,0,128198.8047,1031405.625,527.15,3,955,923,1132,1256,285,3697,1727,13207
i924,1,128202.3203,1031401.063,528,3,925,916,1076,1054,414,3697,1461,13207
i925,0,128202.4141,1031398.813,528.4,3,925,916,1076,1054,628,3697,1321,13207
i926,0,128203.0781,1031395.313,529.08,3,933,924,1159,1174,628,4856,1321,11983
i927,0,128203.0703,1031396.375,528.87,3,933,924,1159,1174,628,4856,1321,11983
i928,1,128214.0234,1031389.75,530.5,3,917,924,1158,1174,547,5766,1361,10883
i929,1,128217.9297,1031388.75,530.75,3,917,924,1158,1174,750,5766,1010,10883
i93,1,128181.5625,1031372.25,532.44,3,905,910,1068,930,397,4434,1386,11725
i930,1,128219.1797,1031388.813,530.8,3,904,912,1105,1139,788,5766,1026,10883
i931,0,128218.9297,1031388.75,530.81,3,904,912,1105,1139,788,5766,1026,10883
i932,1,128212.0938,1031393.438,529.73,3,917,924,1200,1174,566,5766,1376,10883
i933,0,128211.0313,1031394.625,529.39,3,917,924,1200,1174,531,5766,1385,10883
i934,0,128208.5703,1031396.063,529.09,3,917,924,1200,1174,445,4856,1400,11983
i935,1,128208.9609,1031396.188,529.06,3,917,924,1200,1174,445,4856,1400,11983
i936,0,128207,1031396.813,528.93,3,933,924,1159,1174,445,4856,1400,11983
i937,0,128206.125,1031397.938,528.6,3,933,924,1159,1174,445,3697,1400,13207
i938,0,128206.3047,1031398.313,528.51,3,972,924,1133,1174,445,3697,1400,13207
i939,1,128206.7422,1031399.125,528.4,3,972,924,1133,1174,411,3697,1525,13207
i94,1,128181.8438,1031372.063,532.53,3,905,910,1068,930,397,4434,1386,11725
i940,1,128205.6719,1031402.313,527.78,3,972,924,1133,1174,411,3697,1525,13207
i941,0,128206.9531,1031400.625,528.11,3,972,924,1133,1174,411,3697,1525,13207
i942,1,128207.1953,1031400.938,528.07,3,972,924,1133,1174,411,3697,1525,13207
i943,1,128196.3594,1031412.438,525.52,3,934,923,1223,1256,498,3697,1291,13207
i944,1,128206.7734,1031419.188,524.44,3,901,911,1364,1396,554,5421,1114,9447
i945,0,128207.4766,1031428.688,522.22,3,911,911,1638,1396,748,3960,952,11034
i946,0,128207.6016,1031428.938,522.18,3,911,911,1638,1396,748,3960,952,11034
i947,1,128207.3984,1031413.625,525.67,3,897,921,1273,1152,525,5421,1308,9447
i948,0,128208,1031404.875,527.38,3,930,921,1141,1152,350,3697,1632,13207
i949,1,128209.2344,1031404.625,527.5,3,930,921,1141,1152,350,3697,1632,13207
i95,0,128182.3906,1031372.625,532.43,3,905,910,1068,930,397,4434,1386,11725
i950,0,128207.8047,1031403.75,527.57,3,965,921,1131,1152,350,3697,1632,13207
i951,1,128208.6016,1031401.625,527.95,3,917,924,1190,1174,411,3697,1525,13207
i952,0,128209.0938,1031401.25,528.04,3,917,924,1190,1174,411,3697,1525,13207
i953,0,128208.2969,1031400.5,528.14,3,917,924,1190,1174,411,3697,1525,13207
i954,0,128208.8672,1031400.313,528.23,3,917,924,1190,1174,411,3697,1525,13207
i955,0,128209.2813,1031400.5,528.19,3,917,924,1190,1174,411,3697,1525,13207
i956,1,128208.5234,1031399.313,528.42,3,917,924,1190,1174,411,3697,1525,13207
i957,0,128209.2734,1031399.063,528.49,3,917,924,1190,1174,411,3697,1525,13207
i958,1,128209.3594,1031397.25,528.9,3,917,924,1200,1174,445,4856,1400,11983
i959,0,128222.6875,1031385.063,531.78,3,903,907,1089,1005,622,5766,1180,10883
i96,0,128182.3125,1031374.813,532.07,3,904,907,1131,1113,397,4434,1386,11725
i960,0,128224.6719,1031384.063,532.33,3,907,907,1064,1005,373,5766,1414,10883
i961,0,128224.4141,1031390.938,530.92,3,910,912,1065,1139,645,5766,1196,10883
i962,0,128227.0469,1031391.438,531.09,3,910,912,1065,1139,645,4389,1196,11983
i963,1,128220.6953,1031392,530.42,3,904,912,1105,1139,811,5766,1058,10883
i964,0,128221.0469,1031398.125,529.32,3,915,912,1280,1139,495,4908,1353,12057
i965,1,128218.4063,1031397.813,529.1,3,910,912,1173,1139,580,4908,1299,12057
i966,0,128213.0859,1031396.25,529.18,3,910,924,1208,1174,531,5766,1385,10883
i967,0,128212.1563,1031397.125,529.05,3,917,924,1200,1174,531,5766,1385,10883
i968,0,128213.9063,1031397.313,529.05,3,910,924,1208,1174,531,5766,1385,10883
i969,0,128215.7344,1031398.625,528.82,3,903,924,1237,1174,580,4908,1299,12057
i97,1,128182.2656,1031375.063,532.01,3,904,907,1131,1113,397,4434,1386,11725
i970,0,128214.375,1031400.25,528.39,3,903,924,1237,1174,594,4908,1243,12057
i971,0,128215.0469,1031400.813,528.29,3,903,924,1237,1174,594,4908,1243,12057
i972,1,128215.5391,1031400.375,528.39,3,903,924,1237,1174,594,4908,1243,12057
i973,0,128216.3594,1031400.438,528.45,3,903,924,1237,1174,594,4908,1243,12057
i974,1,128217.8828,1031401.063,528.44,3,903,924,1237,1174,594,4908,1243,12057
i975,1,128218.1641,1031401.375,528.37,3,915,912,1280,1139,594,4908,1243,12057
i976,1,128218.3203,1031401.438,528.4,3,915,912,1280,1139,594,4908,1243,12057
i977,1,128218.75,1031401.313,528.52,3,915,912,1280,1139,594,4908,1243,12057
i978,0,128215.9453,1031400.938,528.29,3,903,924,1237,1174,594,4908,1243,12057
i979,1,128216.0859,1031400.938,528.28,3,903,924,1237,1174,594,4908,1243,12057
i98,0,128183.2031,1031376.125,531.89,3,904,907,1092,1113,538,4434,1253,11725
i980,0,128215.6563,1031401.375,528.16,3,903,924,1237,1174,594,4908,1243,12057
i981,0,128214.4766,1031401.625,528.1,3,903,924,1237,1174,594,4908,1243,12057
i982,1,128213.2734,1031403.063,527.38,3,911,921,1142,1152,529,4908,1195,12057
i983,0,128212.5313,1031403.438,527.71,3,930,921,1141,1152,529,4908,1195,12057
i984,0,128215.3203,1031402.125,528.02,3,903,924,1237,1174,594,4908,1243,12057
i985,0,128215.5859,1031402.063,528.03,3,903,924,1237,1174,594,4908,1243,12057
i986,1,128215.9297,1031402.063,528.08,3,903,924,1237,1174,594,4908,1243,12057
i987,0,128216.2891,1031401.875,528.11,3,903,924,1237,1174,594,4908,1243,12057
i988,1,128216.6406,1031401.875,528.11,3,903,924,1237,1174,594,4908,1243,12057
i989,1,128216.8516,1031402.563,527.96,3,903,924,1237,1174,594,4908,1243,12057
i99,0,128184.2266,1031377.625,531.68,3,904,907,1092,1113,345,4434,1552,11725
i990,1,128216.9844,1031403,527.89,3,903,924,1237,1174,594,4908,1243,12057
i991,1,128216.1406,1031402.313,528.03,3,903,924,1237,1174,594,4908,1243,12057
i992,0,128215.3359,1031402.938,527.86,3,903,924,1237,1174,594,4908,1243,12057
i993,0,128214.7422,1031403.438,527.77,3,911,921,1142,1152,594,4908,1243,12057
i994,0,128216.1328,1031403.813,527.71,3,911,921,1142,1152,517,4908,1476,12057
i995,1,128238.3828,1031448,524.15,3,937,937,925,1054,317,4682,1420,11070
i996,0,128216.6875,1031404.563,527.58,3,911,921,1142,1152,517,4908,1476,12057
i997,0,128215.9297,1031405.188,527.43,3,911,921,1142,1152,517,4908,1476,12057
i998,0,128217.3906,1031405.313,527.5,3,911,921,1142,1152,517,4908,1476,12057
i999,1,128217.2109,1031406.25,527.26,3,911,921,1142,1152,517,4908,1476,12057
i1,1,128809.4375,1031292.25,490.9,1,892,861,1023,1094,860,9450,347,3525
i10,0,128812.7813,1031291.125,490.79,1,900,867,1077,907,581,8080,235,3185
i11,1,128813.0703,1031290.625,490.85,1,900,867,1077,907,581,8080,235,3185
i12,1,128813.9375,1031290.125,490.83,1,900,867,1077,907,581,8080,235,3185
i13,1,128814.0391,1031290.125,490.81,1,900,867,1077,907,581,8080,235,3185
i14,1,128813.5781,1031290.688,490.77,1,900,867,1077,907,581,8080,235,3185
i15,0,128813.5313,1031291.188,490.73,1,900,867,1077,907,581,8080,235,3185
i16,1,128813.8125,1031291.563,490.63,1,900,867,1077,907,581,8080,235,3185
i17,1,128814.8359,1031290,490.68,1,900,888,1209,1288,581,8080,235,3185
i18,1,128815.5781,1031291.938,490.32,1,881,867,1087,907,426,8080,264,3185
i19,1,128816.2188,1031289.375,490.61,1,889,888,1280,1288,1068,7344,470,5655
i2,1,128810.1563,1031291.938,490.93,1,900,867,1077,907,581,8080,235,3185
i20,0,128817.0703,1031292.813,489.96,1,881,867,1087,907,426,8080,264,3185
i21,0,128813.8203,1031294.875,490.1,1,900,867,1077,907,581,8080,235,3185
i22,0,128819.2891,1031292.563,489.72,1,881,867,1087,907,426,8080,264,3185
i23,1,128820.7734,1031291.438,489.71,1,887,867,895,907,259,8080,628,3185
i24,1,128820.8359,1031291.063,489.75,1,887,867,895,907,259,8080,628,3185
i25,1,128821.2813,1031293.063,489.48,1,887,867,895,907,259,8080,628,3185
i26,0,128821.0938,1031293.063,489.51,1,887,867,895,907,259,8080,628,3185
i27,0,128820.4453,1031293,489.59,1,887,867,895,907,259,8080,628,3185
i28,0,128820.1563,1031293.375,489.57,1,887,867,895,907,259,8080,628,3185
i29,0,128820.3828,1031293.375,489.55,1,887,867,895,907,259,8080,628,3185
i3,1,128810.2813,1031292.125,490.84,1,900,867,1077,907,581,8080,235,3185
i30,0,128820.3516,1031293.688,489.48,1,887,867,895,907,259,8080,628,3185
i31,0,128820.625,1031293.625,489.49,1,887,867,895,907,259,8080,628,3185
i32,0,128823.5859,1031293.5,489.16,1,887,867,895,907,259,8080,628,3185
i33,1,128824.1641,1031291.625,489.29,1,887,867,895,907,259,8080,628,3185
i34,1,128822.6094,1031290.5,489.7,1,887,867,895,907,259,8080,628,3185
i35,1,128821.9531,1031289.5,489.85,1,885,888,1148,1288,774,7344,460,5655
i36,1,128824.1641,1031288.688,489.7,1,885,888,1148,1288,774,7344,460,5655
i37,0,128824.4219,1031288.438,489.66,1,885,888,1148,1288,774,7344,460,5655
i38,1,128824.5938,1031287.313,489.86,1,885,888,1148,1288,774,7344,460,5655
i39,1,128824.4453,1031286.125,489.99,1,885,888,1148,1288,774,7344,460,5655
i4,1,128810.4844,1031292.938,490.61,1,900,867,1077,907,581,8080,235,3185
i40,0,128825.7734,1031286.938,489.74,1,875,873,976,1038,556,5536,538,6423
i41,0,128826.3906,1031287,489.65,1,875,873,976,1038,556,5536,538,6423
i42,0,128825.4453,1031287.938,489.68,1,875,873,976,1038,556,5536,538,6423
i43,0,128826.8359,1031286.5,489.69,1,875,873,976,1038,556,5536,538,6423
i44,0,128827.2891,1031286.438,489.61,1,875,873,976,1038,556,5536,538,6423
i45,0,128827.4688,1031286.25,489.62,1,875,873,976,1038,556,5536,538,6423
i46,1,128826.1094,1031289.125,489.43,1,875,873,976,1038,556,5536,538,6423
i47,1,128827.7891,1031288.938,489.33,1,875,873,976,1038,556,5536,538,6423
i48,0,128827.6797,1031290.688,489.12,1,873,860,681,990,320,8510,977,5375
i49,1,128827.1328,1031291.5,489.01,1,873,860,681,990,320,8510,977,5375
i5,1,128810.2031,1031293.938,490.59,1,900,867,1077,907,581,8080,235,3185
i50,0,128826.9219,1031292,489.07,1,873,860,681,990,320,8510,977,5375
i51,0,128826.3672,1031292.125,489.12,1,873,860,681,990,320,8510,977,5375
i52,0,128828.0469,1031298.875,489.64,1,854,860,763,990,1494,8510,133,5375
i53,1,128833.7734,1031293.938,488.44,1,858,860,688,990,893,8510,886,5375
i54,1,128839.8203,1031293.438,488.07,1,853,860,534,990,1704,8510,262,5375
i55,0,128835.8984,1031300.75,488.14,1,879,860,1776,990,235,8510,897,5375
i56,0,128839.2969,1031289.25,487.95,1,870,873,788,1038,28,5536,1047,6423
i57,1,128838.5781,1031288.688,488.12,1,870,873,788,1038,28,5536,1047,6423
i58,1,128837.9688,1031288.063,488.33,1,870,873,788,1038,28,5536,1047,6423
i59,0,128835.8203,1031288.625,488.47,1,870,873,788,1038,28,5536,1047,6423
i6,0,128812.5391,1031291.875,490.65,1,900,867,1077,907,581,8080,235,3185
i60,1,128840.9922,1031285.625,488.16,1,858,853,713,897,242,4520,639,6899
i61,0,128846.5781,1031290.563,487.5,1,848,870,831,1090,1152,5790,539,6056
i62,0,128846.9141,1031290,487.44,1,845,853,915,897,1152,5790,539,6056
i63,1,128844.0938,1031284.438,487.86,1,856,853,907,897,245,4520,1218,6899
i64,1,128867.125,1031274,485.52,1,842,848,409,723,745,4510,507,5027
i65,1,128836.1563,1031289.313,488.32,1,870,873,788,1038,28,5536,1047,6423
i66,1,128796.1563,1031268.313,497.56,1,865,865,1077,1194,608,5402,996,8706
i67,1,128786.625,1031261.938,499.93,1,859,876,1192,1293,350,6837,1276,8925
i68,1,128706.7031,1031298.188,515.8,1,842,841,1399,1295,442,4161,809,8786
i69,0,128679.4453,1031299.938,520.59,1,841,843,600,603,328,3088,1559,12282
i7,1,128813.3906,1031292,490.61,1,900,867,1077,907,581,8080,235,3185
i70,0,128676.1953,1031295.063,520.85,1,841,843,600,603,328,3088,1559,12282
i71,1,128676.1641,1031294.75,520.72,1,842,843,546,603,703,3088,981,12282
i72,1,128693.2734,1031347.063,518.52,1,841,845,846,922,113,4354,1805,10892
i73,1,128818.8828,1031284,491.15,1,888,888,1355,1288,421,7344,1091,5655
i74,0,128825.8203,1031290.125,489.37,1,873,860,681,990,320,8510,977,5375
i75,NA,128785.7969,1031272.25,498.24,1,890,876,1430,1293,1220,6837,690,8925
i8,0,128813.4219,1031291.75,490.63,1,900,867,1077,907,581,8080,235,3185
i9,1,128813.5781,1031291.75,490.61,1,900,867,1077,907,581,8080,235,3185
