TotCrimeIndex,HealthCare,MedAge,EducIndex,UnemployRate,MedHouseIncome,AdultPov,hivCase
210,5996259,46,2.415615411,0.202973128,40681,0.191744841,125
223,10029013,46,2.957551523,0.136324786,49458,0.143329658,75
255,7253126,47,2.928624813,0.129709365,51074,0.16722408,107
18,4452412,41,2.539945967,0.151033386,41773,0.295087977,89
136,6838751,29,2.392267019,0.169218039,32220,0.24340836,118
118,4930214,34,2.532344458,0.164606742,46680,0.115145724,93
157,2539208,33,2.517361111,0.232365145,29063,0.310673822,79
314,2785730,39,2.513513514,0.202105263,28490,0.246268657,61
250,3735534,40,2.531359759,0.282664942,25577,0.238172043,111
114,3216793,35,2.19792695,0.211818182,26833,0.229943146,101
286,2836472,38,2.527236046,0.231740307,42390,0.173323823,56
310,1993547,36,2.158377965,0.16433942,26989,0.20351951,55
233,3667452,23,1.923611111,0.291891892,24375,0.332979852,99
201,3583038,37,2.375474083,0.200587084,21332,0.329663212,70
212,6645695,33,2.634224172,0.211052632,31765,0.252431118,117
280,2888574,47,2.815442561,0.108843537,43000,0.090723751,60
171,8505447,35,3.781809614,0.022316684,94931,0.080838323,69
107,11702298,35,3.675942878,0.069878472,96385,0.081210779,79
305,13051858,31,4.471208435,0.028865979,128523,0.060085837,50
223,12152100,31,4.655269321,0.031418753,85484,0.138307552,18
84,9627961,31,4.329545455,0.016012397,121058,0.116310768,49
160,8778291,32,4.584750411,0.003771213,96823,0.055872292,41
136,6201264,35,3.443293034,0.139189189,64261,0.101735488,86
318,5051275,35,3.506862745,0.092750533,104710,0.06012024,59
172,4555679,34,2.865540044,0.141891892,54750,0.136454849,78
309,2608144,36,2.720211827,0.181055156,51650,0.172958736,72
164,6178479,38,2.689555126,0.202156334,41746,0.24384058,139
216,1475608,22,2.387539599,0.170967742,27344,0.459649123,63
190,2976735,41,2.168706294,0.187623436,26615,0.388181818,107
17,2723520,34,2.315727003,0.235910878,30020,0.224014337,84
102,2797849,44,2.112176814,0.246416759,27601,0.304531978,123
180,7228296,49,2.926183844,0.026122449,32287,0.097168597,44
96,4859815,35,2.293522267,0.167170191,31544,0.269772481,109
68,2800649,26,3.006112469,0.232360097,41902,0.165605096,34
254,4419937,26,2.899456522,0.205280172,46159,0.192807626,70
29,2915211,40,2.195227766,0.15625,31290,0.176853056,66
239,9376243,42,3.675524476,0.092134831,75833,0.132467532,45
347,2991547,43,2.756620429,0.054347826,65700,0.045092838,25
282,11376374,45,3.222722884,0.194971146,69639,0.068411215,74
234,5930515,22,2.623678647,0.098389982,40528,0.229813665,83
142,7589996,47,3.455587393,0.113978495,77451,0.168110919,34
311,5881134,45,2.945143885,0.181946403,52095,0.150715072,58
234,5547884,49,2.950649351,0.102929533,66591,0.08864084,39
19,3719800,46,2.699755899,0.039889959,52981,0.021694215,20
255,6040223,40,2.935248518,0.093686354,51525,0.031818182,50
343,7544183,45,2.905301497,0.189557321,66341,0.028061224,36
358,2660485,18,2.570688379,0.160409556,45000,0.289494787,38
14,3085396,29,2.069925743,0.213217939,25307,0.326359833,93
217,4393454,40,2.636045931,0.140268456,41898,0.152173913,102
220,3302417,48,2.624075319,0.159390863,43588,0.076547231,42
20,3270954,33,2.418155826,0.269005848,30821,0.343665768,50
14,2048766,25,2.364963504,0.372759857,28900,0.352800954,44
246,1363153,26,2.318796992,0.270089286,24464,0.537790698,38
280,2618664,32,2.360204734,0.305423406,26471,0.216488357,81
14,3268908,27,2.453488372,0.215199398,50156,0.2172949,62
56,4281466,39,2.483414239,0.234988453,38500,0.248888889,74
73,2143648,26,2.171979866,0.058823529,26515,0.287104623,73
21,3412714,26,2.181258874,0.342269327,25750,0.329411765,108
187,7165290,53,3.425776755,0.088495575,80036,0.089299461,30
211,6384056,46,2.739173228,0.226056338,52379,0.181596587,59
45,2490938,41,2.680089485,0.142259414,54667,0.145141451,38
157,2257611,35,2.305293006,0.210285714,37931,0.214814815,69
358,2836392,36,2.547454431,0.238431373,36185,0.181077694,71
193,1726719,41,2.20510397,0.159806295,40085,0.16007533,40
15,2360682,29,2.155,0.211359404,24459,0.315565032,76
228,8244986,33,4.044146825,0.02425876,56771,0.133832475,57
92,9292597,40,4.393488372,0.045378151,76414,0.089030207,52
409,7007900,38,3.150438947,0.166195857,55910,0.172110553,44
172,4131684,36,2.535816619,0.234693878,29873,0.243609605,141
51,10668706,36,3.566309342,0.06462585,59583,0.16770003,129
295,10320583,32,3.393601725,0.087439793,76680,0.170259987,106
297,6628957,27,4.449023861,0.05,59522,0.304129464,35
221,1577772,20,4.539452496,0.059701493,13672,0.630404463,11
65,3578002,24,2.550102249,0.205501618,29667,0.475024015,63
182,15906192,50,4.124600639,0.090267983,74500,0.175765095,77
253,8846496,45,2.651256862,0.188942098,60268,0.132321807,85
